date,home_team,away_team,home_goals,away_goals,outcome,match_type,tournament_name,neutral_venue,home_elo_before,away_elo_before
2018-05-25,Kenya,Eswatini,0.0,1.0,A,Friendly,Friendly,False,1493.63302489273,1501.792831997477
2018-05-25,Kuwait,Egypt,1.0,1.0,D,Friendly,Friendly,False,1490.2663575941378,1487.16697510727
2018-05-26,China PR,Myanmar,1.0,0.0,H,Friendly,Friendly,False,1468.4862076602883,1482.4586762414901
2018-05-26,Saint Barthélemy,Sint Maarten,5.0,3.0,H,Friendly,Friendly,False,1504.6071680025232,1500.0
2018-05-27,Cameroon,Burkina Faso,0.0,1.0,A,Friendly,Friendly,True,1512.1687055760306,1499.9115832325572
2018-05-27,Niger,Central African Republic,3.0,3.0,D,Friendly,Friendly,False,1500.0,1508.159807104747
2018-05-27,Madagascar,Mozambique,2.0,1.0,H,Tournament,COSAFA Cup,True,1493.6,1500.0
2018-05-27,Comoros,Seychelles,1.0,1.0,D,Tournament,COSAFA Cup,True,1500.0,1498.207168002523
2018-05-28,Angola,Botswana,1.0,2.0,A,Tournament,COSAFA Cup,True,1500.03302489273,1512.751555465962
2018-05-28,Malawi,Mauritius,0.0,1.0,A,Tournament,COSAFA Cup,True,1501.909477772474,1520.3182918243942
2018-05-28,Bosnia and Herzegovina,Montenegro,0.0,0.0,D,Friendly,Friendly,False,1503.5642238043422,1500.04788140082
2018-05-28,South Korea,Honduras,2.0,0.0,H,Friendly,Friendly,False,1502.8628168821417,1500.0
2018-05-28,Türkiye,Iran,2.0,1.0,H,Friendly,Friendly,False,1506.3521185991801,1514.681525725194
2018-05-28,Mexico,Wales,0.0,0.0,D,Friendly,Friendly,True,1511.4986869601885,1510.8659309766508
2018-05-28,France,Republic of Ireland,2.0,0.0,H,Friendly,Friendly,False,1503.9391945258635,1495.3928319974768
2018-05-28,Portugal,Tunisia,2.0,2.0,D,Friendly,Friendly,False,1494.7298591067909,1511.2181334896081
2018-05-28,USA,Bolivia,3.0,0.0,H,Friendly,Friendly,False,1502.8448133967938,1497.1246224753163
2018-05-28,Italy,Saudi Arabia,2.0,1.0,H,Friendly,Friendly,True,1492.4903400446083,1510.3825824903902
2018-05-28,Kenya,Equatorial Guinea,1.0,0.0,H,Friendly,Friendly,False,1485.579598440454,1500.0
2018-05-28,Nigeria,DR Congo,1.0,1.0,D,Friendly,Friendly,False,1498.189854089012,1492.8826476036602
2018-05-29,Madagascar,Seychelles,1.0,1.0,D,Tournament,COSAFA Cup,True,1509.8946975602532,1498.289730234348
2018-05-29,Panama,Northern Ireland,0.0,0.0,D,Friendly,Friendly,False,1494.5441813973068,1504.8225734151624
2018-05-29,Peru,Scotland,2.0,0.0,H,Friendly,Friendly,False,1519.45155195206,1500.0
2018-05-29,Comoros,Mozambique,0.0,3.0,A,Tournament,COSAFA Cup,True,1499.917437768175,1483.7053024397467
2018-05-29,Armenia,Malta,1.0,1.0,D,Friendly,Friendly,True,1489.8987834687514,1479.5401366474653
